App,Environment,Provider,Integration,Key or Credential,Secret Class,Used by SageCG Runtime,Current Status,Where Configured,Key Console URL,Budget Console URL,GCP Project ID,Primary Cost Driver (Service/SKU),Monthly Budget USD,Alert 50%,Alert 80%,Alert 100%,Owner,Last Rotated,Next Rotation,Notes
ALL_GCP_PROJECTS,prod,Google Cloud Billing,Account-level cost control,Billing account reports budgets and quotas,Privileged account access,No,Active (control plane),Google Cloud Console,https://console.cloud.google.com/billing,https://console.cloud.google.com/billing,BILLING-ACCOUNT,"Cloud Billing aggregate (all SKUs)",TBD,TBD,TBD,TBD,TBD,TBD,TBD,Start here for runaway costs: Billing reports cost breakdown anomalies and budgets across all projects.
SageCG,prod,Google Analytics,Website analytics,G-4J0FWODC6W (Measurement ID),Public ID,Yes,Active,Inline in Layout.astro,https://analytics.google.com/,N/A (GA4 standard free),N/A,GA4 standard free,0,0,0,0,TBD,TBD,TBD,Public identifier not a secret.
SageCG,prod,Cloudflare,Hosting and DNS,Cloudflare account/project access,Privileged account access,Yes,Active,Cloudflare account,https://dash.cloudflare.com/?to=/:account/pages,https://dash.cloudflare.com/?to=/:account/billing,N/A,Cloudflare Pages and CDN usage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Set billing notifications at account level.
VoraPrep,prod,Stripe,Checkout + webhooks,STRIPE_SECRET_KEY,Secret,No,Active (portfolio app),Server-side secrets manager,https://dashboard.stripe.com/apikeys,https://dashboard.stripe.com/settings/billing,N/A,Stripe transaction fees,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Keep secret key server-side only.
VoraPrep,prod,Stripe,Client checkout,STRIPE_PUBLISHABLE_KEY,Public key,No,Active (portfolio app),Client env,https://dashboard.stripe.com/apikeys,https://dashboard.stripe.com/settings/billing,N/A,Stripe transaction fees,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Publishable key is safe in browser.
VoraPrep,prod,Stripe,Webhook verification,STRIPE_WEBHOOK_SECRET,Secret,No,Active (portfolio app),Server-side secrets manager,https://dashboard.stripe.com/webhooks,https://dashboard.stripe.com/settings/billing,N/A,Stripe transaction fees,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Rotate if webhook endpoint changes.
VoraPrep,prod,Resend,Transactional email,RESEND_API_KEY,Secret,No,Active (portfolio app),Server-side secrets manager,https://resend.com/api-keys,https://resend.com/billing,N/A,Email send volume,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Set domain and sender limits.
VoraPrep,prod,Google Gemini,AI tutor,GEMINI_API_KEY,Secret,No,Active (portfolio app),Server-side secrets manager,https://console.cloud.google.com/apis/credentials?project=<project-id>,https://console.cloud.google.com/billing/budgets?project=<project-id>,<project-id>,Gemini API token usage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Gemini usage is billed in Google Cloud for the linked project; also check API metrics and quotas.
VoraPrep,prod,Telnyx,SMS workflows,TELNYX_API_KEY,Secret,No,Active (portfolio app content),Server-side secrets manager,https://portal.telnyx.com/#/app/api-keys,https://portal.telnyx.com/#/app/billing,N/A,SMS message volume,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Set usage alerts to avoid SMS overages.
VoraPrep,prod,Firebase/GCP,Auth + Firestore + Functions,Firebase service credentials,Secret,No,Active (portfolio app),Firebase Functions Secrets / GCP Secret Manager,https://console.firebase.google.com/project/<project-id>/settings/serviceaccounts,https://console.cloud.google.com/billing/budgets?project=<project-id>,<project-id>,"Cloud Functions, Firestore, Storage, Networking",TBD,TBD,TBD,TBD,TBD,TBD,TBD,Use least privilege service accounts.
LeaderReps,prod,Google Gemini,AI coaching,GEMINI_API_KEY,Secret,No,Active (portfolio app),Firebase Functions Secrets / GCP Secret Manager,https://console.cloud.google.com/apis/credentials?project=<project-id>,https://console.cloud.google.com/billing/budgets?project=<project-id>,<project-id>,Gemini API token usage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Gemini usage is billed in Google Cloud for the linked project; set hard quotas and budget alerts.
LeaderReps,prod,Anthropic,AI fallback,ANTHROPIC_API_KEY,Secret,No,Active (portfolio app),Secrets manager,https://console.anthropic.com/settings/keys,https://console.anthropic.com/settings/plans,N/A,Anthropic token usage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Set workspace spending caps.
LeaderReps,prod,Telnyx,SMS experiments,TELNYX_API_KEY,Secret,No,In progress (portfolio app),Secrets manager,https://portal.telnyx.com/#/app/api-keys,https://portal.telnyx.com/#/app/billing,N/A,SMS message volume,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Mark active once in production.
LeaderReps,prod,Stripe,Billing (planned),STRIPE_SECRET_KEY,Secret,No,Planned (portfolio app),Secrets manager,https://dashboard.stripe.com/apikeys,https://dashboard.stripe.com/settings/billing,N/A,Stripe transaction fees,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Not active per current matrix.
LeaderReps,prod,Firebase/GCP,Hosting + data + functions,Firebase service credentials,Secret,No,Active (portfolio app),Firebase Functions Secrets / GCP Secret Manager,https://console.firebase.google.com/project/<project-id>/settings/serviceaccounts,https://console.cloud.google.com/billing/budgets?project=<project-id>,<project-id>,"Cloud Functions, Firestore, Hosting, Storage",TBD,TBD,TBD,TBD,TBD,TBD,TBD,Add budget alerts if missing.
CBR Labs,prod,Resend,Lead routing and transactional email,RESEND_API_KEY,Secret,No,Pending (portfolio app),Cloudflare Pages secret,https://resend.com/api-keys,https://resend.com/billing,N/A,Email send volume,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Set to Active after integration goes live.
CBR Labs,prod,Cloudflare,D1 R2 Pages Functions,Cloudflare account/project access,Privileged account access,No,Active (portfolio app),Cloudflare account,https://dash.cloudflare.com/?to=/:account/pages,https://dash.cloudflare.com/?to=/:account/billing,N/A,"Cloudflare Pages, D1, R2, Functions",TBD,TBD,TBD,TBD,TBD,TBD,TBD,Add account billing notification thresholds.
ToothHound,prod,Google Gemini,Tooth identification,GEMINI_API_KEY,Secret,No,Active (portfolio app),Cloudflare project env vars,https://console.cloud.google.com/apis/credentials?project=<project-id>,https://console.cloud.google.com/billing/budgets?project=<project-id>,<project-id>,Gemini API token usage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Gemini usage is billed in Google Cloud for the linked project; fallback exists when key absent.
ToothHound,prod,Upstash Redis,Feedback and lightweight data,UPSTASH_REDIS_REST_TOKEN,Secret,No,Active (portfolio app),Cloudflare project env vars,https://console.upstash.com/,https://console.upstash.com/billing,N/A,Redis request and storage usage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Track requests and storage.
ToothHound,prod,RapidAPI,Listings and external feeds,RAPIDAPI_KEY,Secret,No,Active (portfolio app content),Cloudflare project env vars,https://rapidapi.com/developer/dashboard,https://rapidapi.com/developer/dashboard/billing,N/A,RapidAPI plan and request volume,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Cost depends on subscribed APIs.
ToothHound,prod,Cloudflare,Hosting and server runtime,Cloudflare account/project access,Privileged account access,No,Active (portfolio app),Cloudflare account,https://dash.cloudflare.com/?to=/:account/pages,https://dash.cloudflare.com/?to=/:account/billing,N/A,"Cloudflare Pages, Functions, bandwidth",TBD,TBD,TBD,TBD,TBD,TBD,TBD,Set per-project analytics and billing alerts.
KindKudos,prod,Google Gemini,Moderation,GEMINI_API_KEY,Secret,No,Active (portfolio app),GCP secrets/config,https://console.cloud.google.com/apis/credentials?project=<project-id>,https://console.cloud.google.com/billing/budgets?project=<project-id>,<project-id>,Gemini API token usage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Gemini usage is billed in Google Cloud for the linked project; confirm key location in app repo.
KindKudos,prod,Google Cloud Functions,Backend operations,Function admin/service credentials,Secret,No,Active (portfolio app),GCP IAM and secrets,https://console.cloud.google.com/functions/list?project=<project-id>,https://console.cloud.google.com/billing/budgets?project=<project-id>,<project-id>,Cloud Functions invocations and compute,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Prefer Workload Identity over JSON keys.
Longest Table,prod,Google Cloud Run,App runtime,Service account credentials,Secret,No,Active (portfolio app),Cloud Run IAM / Secret Manager,https://console.cloud.google.com/run?project=<project-id>,https://console.cloud.google.com/billing/budgets?project=<project-id>,<project-id>,Cloud Run CPU Memory and request usage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Migrate away from local JSON credentials.
Longest Table,prod,Firestore (GCP),Migration target,Firestore credentials,Secret,No,In progress (portfolio app),GCP IAM / Secret Manager,https://console.cloud.google.com/apis/credentials?project=<project-id>,https://console.cloud.google.com/billing/budgets?project=<project-id>,<project-id>,Firestore reads writes deletes and storage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Activate once migration is complete.
NFL Fantasy Auction Draft,prod,Cloudflare,Hosting,Cloudflare account/project access,Privileged account access,No,Active (portfolio app),Cloudflare account,https://dash.cloudflare.com/?to=/:account/pages,https://dash.cloudflare.com/?to=/:account/billing,N/A,Cloudflare Pages and bandwidth,TBD,TBD,TBD,TBD,TBD,TBD,TBD,No paid API keys identified.
